loading annotations into memory...
Done (t=0.03s)
creating index...
index created!
[31mWARNING: NO MODEL LOADED !!!
loading annotations into memory...
/home/deep/anaconda3/envs/e2ec/lib/python3.7/site-packages/torch/nn/functional.py:3385: UserWarning: Default grid_sample and affine_grid behavior has changed to align_corners=False since 1.3.0. Please specify align_corners=True if the old behavior is desired. See the documentation of grid_sample for details.
  warnings.warn("Default grid_sample and affine_grid behavior has changed "
/home/deep/1-POJECT/e2ec/e2ec/network/evolve/utils.py:5: UserWarning: indexing with dtype torch.uint8 is now deprecated, please use a dtype torch.bool instead. (Triggered internally at  /pytorch/aten/src/ATen/native/IndexingUtils.h:25.)
  poly = torch.cat([poly[i][ct_01[i]] for i in range(batch_size)], dim=0)
Done (t=0.14s)
creating index...
index created!
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
eta: 0:05:07  epoch: 0  step: 20  ct_loss: 4.5665  init_py_loss: 8.6391  coarse_py_loss: 6.1242  py_loss_0: 6.1099  py_loss_1: 6.1004  loss: 10.1130  data: 0.0495  batch: 1.3424  lr: 0.000100  max_mem: 5970
eta: 0:04:35  epoch: 0  step: 40  ct_loss: 2.1742  init_py_loss: 6.7559  coarse_py_loss: 4.2980  py_loss_0: 4.1310  py_loss_1: 4.0566  loss: 6.0088  data: 0.0014  batch: 1.2949  lr: 0.000100  max_mem: 5999
eta: 0:04:08  epoch: 0  step: 60  ct_loss: 1.5992  init_py_loss: 4.7380  coarse_py_loss: 3.9683  py_loss_0: 3.6321  py_loss_1: 3.5066  loss: 4.8495  data: 0.0015  batch: 1.3141  lr: 0.000100  max_mem: 6002
eta: 0:03:42  epoch: 0  step: 80  ct_loss: 1.4112  init_py_loss: 3.8014  coarse_py_loss: 3.4933  py_loss_0: 3.0274  py_loss_1: 2.9160  loss: 4.1218  data: 0.0014  batch: 1.3220  lr: 0.000100  max_mem: 6027
eta: 0:03:16  epoch: 0  step: 100  ct_loss: 1.2645  init_py_loss: 3.7218  coarse_py_loss: 3.4707  py_loss_0: 3.0062  py_loss_1: 2.9440  loss: 3.9672  data: 0.0016  batch: 1.3271  lr: 0.000100  max_mem: 6027
eta: 0:02:50  epoch: 0  step: 120  ct_loss: 1.1991  init_py_loss: 3.6058  coarse_py_loss: 3.1727  py_loss_0: 2.7270  py_loss_1: 2.6837  loss: 3.6805  data: 0.0014  batch: 1.3446  lr: 0.000100  max_mem: 6027
eta: 0:02:24  epoch: 0  step: 140  ct_loss: 1.0953  init_py_loss: 3.3923  coarse_py_loss: 2.7987  py_loss_0: 2.4251  py_loss_1: 2.3712  loss: 3.3131  data: 0.0015  batch: 1.3408  lr: 0.000100  max_mem: 6027
eta: 0:01:58  epoch: 0  step: 160  ct_loss: 1.0190  init_py_loss: 3.2759  coarse_py_loss: 2.6389  py_loss_0: 2.3085  py_loss_1: 2.2881  loss: 3.1427  data: 0.0014  batch: 1.3730  lr: 0.000100  max_mem: 6034
eta: 0:01:32  epoch: 0  step: 180  ct_loss: 1.0106  init_py_loss: 3.6244  coarse_py_loss: 2.8833  py_loss_0: 2.5423  py_loss_1: 2.5078  loss: 3.3448  data: 0.0014  batch: 1.3570  lr: 0.000100  max_mem: 6034
eta: 0:01:05  epoch: 0  step: 200  ct_loss: 1.0208  init_py_loss: 3.2345  coarse_py_loss: 2.4716  py_loss_0: 2.1767  py_loss_1: 2.1534  loss: 3.0348  data: 0.0014  batch: 1.3619  lr: 0.000100  max_mem: 6034
eta: 0:00:38  epoch: 0  step: 220  ct_loss: 0.9181  init_py_loss: 3.1979  coarse_py_loss: 2.3219  py_loss_0: 2.0100  py_loss_1: 1.9718  loss: 2.7973  data: 0.0014  batch: 1.3649  lr: 0.000100  max_mem: 6034
eta: 0:00:12  epoch: 0  step: 240  ct_loss: 0.8793  init_py_loss: 3.1050  coarse_py_loss: 2.2089  py_loss_0: 1.9185  py_loss_1: 1.8927  loss: 2.6811  data: 0.0015  batch: 1.3731  lr: 0.000100  max_mem: 6034
eta: 0:00:01  epoch: 0  step: 248  ct_loss: 0.8514  init_py_loss: 3.0100  coarse_py_loss: 2.1059  py_loss_0: 1.8350  py_loss_1: 1.8101  loss: 2.5780  data: 0.0016  batch: 1.3643  lr: 0.000100  max_mem: 6034
eta: 0:05:08  epoch: 1  step: 269  ct_loss: 0.8677  init_py_loss: 3.1610  coarse_py_loss: 2.2272  py_loss_0: 1.9747  py_loss_1: 1.9554  loss: 2.7165  data: 0.0361  batch: 1.4140  lr: 0.000100  max_mem: 6034
eta: 0:04:42  epoch: 1  step: 289  ct_loss: 0.7996  init_py_loss: 3.0295  coarse_py_loss: 2.0742  py_loss_0: 1.8264  py_loss_1: 1.8042  loss: 2.5201  data: 0.0016  batch: 1.3957  lr: 0.000100  max_mem: 6034
eta: 0:04:15  epoch: 1  step: 309  ct_loss: 0.8892  init_py_loss: 3.2935  coarse_py_loss: 2.3110  py_loss_0: 2.0651  py_loss_1: 2.0420  loss: 2.8187  data: 0.0015  batch: 1.3557  lr: 0.000100  max_mem: 6034
eta: 0:03:49  epoch: 1  step: 329  ct_loss: 0.8136  init_py_loss: 3.1001  coarse_py_loss: 2.1364  py_loss_0: 1.8636  py_loss_1: 1.8406  loss: 2.5719  data: 0.0014  batch: 1.4105  lr: 0.000100  max_mem: 6034
eta: 0:03:22  epoch: 1  step: 349  ct_loss: 0.8026  init_py_loss: 3.0241  coarse_py_loss: 2.1138  py_loss_0: 1.8351  py_loss_1: 1.8081  loss: 2.5308  data: 0.0015  batch: 1.3816  lr: 0.000100  max_mem: 6034
eta: 0:02:55  epoch: 1  step: 369  ct_loss: 0.8198  init_py_loss: 2.8365  coarse_py_loss: 2.0141  py_loss_0: 1.7737  py_loss_1: 1.7590  loss: 2.4824  data: 0.0014  batch: 1.3973  lr: 0.000100  max_mem: 6034
eta: 0:02:28  epoch: 1  step: 389  ct_loss: 0.7925  init_py_loss: 2.7488  coarse_py_loss: 1.9336  py_loss_0: 1.6882  py_loss_1: 1.6700  loss: 2.3802  data: 0.0016  batch: 1.3985  lr: 0.000100  max_mem: 6034
eta: 0:02:01  epoch: 1  step: 409  ct_loss: 0.7584  init_py_loss: 2.7193  coarse_py_loss: 1.8002  py_loss_0: 1.5475  py_loss_1: 1.5246  loss: 2.2343  data: 0.0015  batch: 1.3987  lr: 0.000100  max_mem: 6034
eta: 0:01:34  epoch: 1  step: 429  ct_loss: 0.7724  init_py_loss: 2.8897  coarse_py_loss: 1.9389  py_loss_0: 1.7216  py_loss_1: 1.7066  loss: 2.3980  data: 0.0014  batch: 1.3696  lr: 0.000100  max_mem: 6034
eta: 0:01:06  epoch: 1  step: 449  ct_loss: 0.8009  init_py_loss: 2.8601  coarse_py_loss: 2.0192  py_loss_0: 1.7804  py_loss_1: 1.7613  loss: 2.4694  data: 0.0014  batch: 1.3695  lr: 0.000100  max_mem: 6034
eta: 0:00:39  epoch: 1  step: 469  ct_loss: 0.7549  init_py_loss: 2.6732  coarse_py_loss: 1.8939  py_loss_0: 1.6616  py_loss_1: 1.6511  loss: 2.3158  data: 0.0014  batch: 1.4021  lr: 0.000100  max_mem: 6034
eta: 0:00:12  epoch: 1  step: 489  ct_loss: 0.7232  init_py_loss: 2.5651  coarse_py_loss: 1.7959  py_loss_0: 1.5529  py_loss_1: 1.5322  loss: 2.1877  data: 0.0015  batch: 1.4025  lr: 0.000100  max_mem: 6034
eta: 0:00:01  epoch: 1  step: 497  ct_loss: 0.7116  init_py_loss: 2.4474  coarse_py_loss: 1.7063  py_loss_0: 1.4732  py_loss_1: 1.4576  loss: 2.1039  data: 0.0015  batch: 1.3968  lr: 0.000100  max_mem: 6034
eta: 0:05:13  epoch: 2  step: 518  ct_loss: 0.7009  init_py_loss: 2.4562  coarse_py_loss: 1.7597  py_loss_0: 1.5501  py_loss_1: 1.5408  loss: 2.1527  data: 0.0390  batch: 1.4315  lr: 0.000100  max_mem: 6034
eta: 0:04:46  epoch: 2  step: 538  ct_loss: 0.7132  init_py_loss: 2.5281  coarse_py_loss: 1.7711  py_loss_0: 1.5406  py_loss_1: 1.5189  loss: 2.1630  data: 0.0016  batch: 1.4055  lr: 0.000100  max_mem: 6034
eta: 0:04:19  epoch: 2  step: 558  ct_loss: 0.6803  init_py_loss: 2.4726  coarse_py_loss: 1.7277  py_loss_0: 1.5092  py_loss_1: 1.4868  loss: 2.0990  data: 0.0014  batch: 1.4019  lr: 0.000100  max_mem: 6034
eta: 0:03:52  epoch: 2  step: 578  ct_loss: 0.7300  init_py_loss: 2.4290  coarse_py_loss: 1.7784  py_loss_0: 1.5508  py_loss_1: 1.5385  loss: 2.1806  data: 0.0015  batch: 1.4026  lr: 0.000100  max_mem: 6034
eta: 0:03:24  epoch: 2  step: 598  ct_loss: 0.7373  init_py_loss: 2.3092  coarse_py_loss: 1.6053  py_loss_0: 1.4057  py_loss_1: 1.3913  loss: 2.0611  data: 0.0014  batch: 1.3945  lr: 0.000100  max_mem: 6034
